   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 386,         37178,           36797,             97,     11235,         806,         53,    14975,       6692,        61,         74691,             381,            239
 387,         37310,           36928,             91,     11535,         802,         47,    15103,       6762,        59,         75078,             382,            205
 388,         37429,           37046,             89,     11630,         823,         51,    15055,       6722,        62,         75466,             382,            324
 389,         37507,           37123,             94,     11544,         806,         54,    15087,       6742,        55,         75855,             379,            201
 390,         37838,           37453,            111,     12012,         811,         51,    15161,       6777,        61,         76245,             385,            236
 391,         37984,           37598,            137,     12069,         808,         51,    15163,       6765,        63,         76636,             387,            230
 392,         38182,           37795,            104,     11478,         841,         54,    15252,       6824,        64,         77028,             386,            243
 393,         38499,           38111,            103,     11525,         816,         52,    15286,       6850,       192,         77421,             385,            205
 394,         38817,           38428,             86,     11571,         827,         49,    15330,       6853,        58,         77815,             391,            224
 395,         39153,           38763,            232,     12138,         829,         55,    15301,       6829,        65,         78210,             392,            287
 396,         39259,           38868,             97,     11720,         829,         52,    15381,       6855,        64,         78606,             390,            234
 397,         39562,           39170,             99,     12555,         805,         50,    15369,       6860,        62,         79003,             392,            232
 398,         39955,           39562,             94,     13231,         831,         46,    15509,       6928,        57,         79401,             397,            208
 399,         40252,           39858,             90,     12061,         821,         50,    15572,       6968,        62,         79800,             393,            232
 400,         40513,           40118,             91,     11699,         841,         50,    15611,       6980,        63,         80200,             394,            212
 401,         40634,           40238,             85,     12060,         834,         50,    15640,       6978,        66,         80601,             391,            219
 402,         40717,           40320,            110,     13074,         818,         53,    15698,       7013,        60,         81003,             398,            215
 403,         40951,           40553,             97,     12003,         856,         51,    15752,       7031,        62,         81406,             399,            221
 404,         41354,           40956,            102,     13457,         850,         56,    15751,       7039,        65,         81810,             396,            525
 405,         41362,           40963,             93,     12977,         845,         53,    15809,       7073,        64,         82215,             397,            233
 406,         41431,           41031,            105,     12497,         867,         55,    15882,       7091,        66,         82621,             402,            259
 407,         41509,           41108,            112,     13139,         830,         53,    15869,       7089,        63,         83028,             400,            220
 408,         41828,           41426,             90,     12275,         873,         50,    15938,       7130,        63,         83436,             406,            237
 409,         42131,           41728,             93,     13208,         848,         54,    15972,       7139,        66,         83845,             405,            254
